nom_hotel,url,marque
PREMIERE CLASSE BORDEAUX OUEST - Eysines,https://www.tripadvisor.fr/Hotel_Review-g662282-d671745-Reviews-Premiere_Classe_Bordeaux_Ouest_Eysines-Eysines_Bordeaux_Gironde_Nouvelle_Aquitaine.html,PREMIERE CLASSE
PREMIERE CLASSE BORDEAUX SUD - Pessac Becquerel,https://www.tripadvisor.fr/Hotel_Review-g196515-d650641-Reviews-Premiere_Classe_Bordeaux_Sud_Pessac_Becquerel-Pessac_Bordeaux_Gironde_Nouvelle_Aquitain.html,PREMIERE CLASSE
PREMIERE CLASSE ROANNE - Perreux,https://www.tripadvisor.fr/Hotel_Review-g1056034-d1055479-Reviews-Premiere_Classe_Roanne_Perreux-Perreux_Roanne_Loire_Auvergne_Rhone_Alpes.html,PREMIERE CLASSE
CAMPANILE EPONE,https://www.tripadvisor.fr/Hotel_Review-g661470-d487792-Reviews-Campanile_Epone-Epone_Yvelines_Ile_de_France.html,CAMPANILE
CAMPANILE ARGENTEUIL,https://www.tripadvisor.fr/Hotel_Review-g196557-d287144-Reviews-Campanile_Argenteuil-Argenteuil_Val_d_Oise_Ile_de_France.html,CAMPANILE
CAMPANILE PARIS SUD - Porte d'Orléans - Arcueil,https://www.tripadvisor.fr/Hotel_Review-g661449-d487806-Reviews-Campanile_Paris_Sud_Porte_D_Orleans_Arcueil-Arcueil_Val_de_Marne_Ile_de_France.html,CAMPANILE
CAMPANILE COMPIEGNE,https://www.tripadvisor.fr/Hotel_Review-g196562-d481757-Reviews-Campanile_Compiegne-Compiegne_City_Compiegne_Oise_Hauts_de_France.html,CAMPANILE
CAMPANILE VIRE,https://www.tripadvisor.fr/Hotel_Review-g196648-d287061-Reviews-Hotel_Campanile_Vire-Vire_Normandie_Calvados_Basse_Normandie_Normandy.html,CAMPANILE
CAMPANILE DUNKERQUE EST - Armbouts Cappel,https://www.tripadvisor.fr/Hotel_Review-g661450-d488201-Reviews-Campanile_Dunkerque_Est_Armbouts_Cappel-Armbouts_Cappel_Nord_Hauts_de_France.html,CAMPANILE
CAMPANILE BORDEAUX EST - Artigues,https://www.tripadvisor.fr/Hotel_Review-g661224-d488530-Reviews-Campanile_Bordeaux_Est_Artigues-Artigues_pres_Bordeaux_Bordeaux_Gironde_Nouvelle_Aquita.html,CAMPANILE
